stim,correct_key,set_size,block,img_folder,stim_img,trial_type
2.0,2.0,2.0,1.0,5.0,2.0,0.0
1.0,0.0,2.0,1.0,5.0,1.0,0.0
1.0,0.0,2.0,1.0,5.0,1.0,0.0
2.0,2.0,2.0,1.0,5.0,2.0,0.0
2.0,2.0,2.0,1.0,5.0,2.0,0.0
1.0,0.0,2.0,1.0,5.0,1.0,0.0
2.0,2.0,2.0,1.0,5.0,2.0,0.0
1.0,0.0,2.0,1.0,5.0,1.0,0.0
1.0,0.0,2.0,1.0,5.0,1.0,0.0
2.0,2.0,2.0,1.0,5.0,2.0,0.0
2.0,2.0,2.0,1.0,5.0,2.0,0.0
1.0,0.0,2.0,1.0,5.0,1.0,0.0
2.0,2.0,2.0,1.0,5.0,2.0,0.0
1.0,0.0,2.0,1.0,5.0,1.0,0.0
2.0,2.0,2.0,1.0,5.0,2.0,0.0
1.0,0.0,2.0,1.0,5.0,1.0,0.0
1.0,0.0,2.0,1.0,5.0,1.0,0.0
2.0,2.0,2.0,1.0,5.0,2.0,0.0
2.0,2.0,2.0,1.0,5.0,2.0,0.0
1.0,0.0,2.0,1.0,5.0,1.0,0.0
2.0,2.0,2.0,1.0,5.0,2.0,0.0
1.0,0.0,2.0,1.0,5.0,1.0,0.0
1.0,0.0,2.0,1.0,5.0,1.0,0.0
2.0,2.0,2.0,1.0,5.0,2.0,0.0
2.0,2.0,2.0,1.0,5.0,2.0,0.0
1.0,0.0,2.0,1.0,5.0,1.0,0.0
1.0,0.0,2.0,2.0,3.0,1.0,0.0
2.0,1.0,2.0,2.0,3.0,2.0,0.0
2.0,1.0,2.0,2.0,3.0,2.0,0.0
1.0,0.0,2.0,2.0,3.0,1.0,0.0
1.0,0.0,2.0,2.0,3.0,1.0,0.0
2.0,1.0,2.0,2.0,3.0,2.0,0.0
2.0,1.0,2.0,2.0,3.0,2.0,0.0
1.0,0.0,2.0,2.0,3.0,1.0,0.0
1.0,0.0,2.0,2.0,3.0,1.0,0.0
2.0,1.0,2.0,2.0,3.0,2.0,0.0
1.0,0.0,2.0,2.0,3.0,1.0,0.0
2.0,1.0,2.0,2.0,3.0,2.0,0.0
2.0,1.0,2.0,2.0,3.0,2.0,0.0
1.0,0.0,2.0,2.0,3.0,1.0,0.0
1.0,0.0,2.0,2.0,3.0,1.0,0.0
2.0,1.0,2.0,2.0,3.0,2.0,0.0
2.0,1.0,2.0,2.0,3.0,2.0,0.0
1.0,0.0,2.0,2.0,3.0,1.0,0.0
2.0,1.0,2.0,2.0,3.0,2.0,0.0
1.0,0.0,2.0,2.0,3.0,1.0,0.0
2.0,1.0,2.0,2.0,3.0,2.0,0.0
1.0,0.0,2.0,2.0,3.0,1.0,0.0
1.0,0.0,2.0,2.0,3.0,1.0,0.0
2.0,1.0,2.0,2.0,3.0,2.0,0.0
1.0,0.0,2.0,2.0,3.0,1.0,0.0
2.0,1.0,2.0,2.0,3.0,2.0,0.0
