stim,correct_key,set_size,block,img_folder,condition,period_sz,iteration,num_actions
1,2,12,1,7,3,3,1,3
2,2,12,1,7,3,3,1,3
3,1,12,1,7,3,3,1,3
1,2,12,1,7,3,3,2,3
2,2,12,1,7,3,3,2,3
3,1,12,1,7,3,3,2,3
1,2,12,1,7,3,3,3,3
2,2,12,1,7,3,3,3,3
3,1,12,1,7,3,3,3,3
1,2,12,1,7,3,3,4,3
2,2,12,1,7,3,3,4,3
3,1,12,1,7,3,3,4,3
4,0,12,1,7,3,3,1,3
5,0,12,1,7,3,3,1,3
6,1,12,1,7,3,3,1,3
4,0,12,1,7,3,3,2,3
5,0,12,1,7,3,3,2,3
6,1,12,1,7,3,3,2,3
4,0,12,1,7,3,3,3,3
5,0,12,1,7,3,3,3,3
6,1,12,1,7,3,3,3,3
4,0,12,1,7,3,3,4,3
5,0,12,1,7,3,3,4,3
6,1,12,1,7,3,3,4,3
7,0,12,1,7,3,3,1,3
8,0,12,1,7,3,3,1,3
9,1,12,1,7,3,3,1,3
7,0,12,1,7,3,3,2,3
8,0,12,1,7,3,3,2,3
9,1,12,1,7,3,3,2,3
7,0,12,1,7,3,3,3,3
8,0,12,1,7,3,3,3,3
9,1,12,1,7,3,3,3,3
7,0,12,1,7,3,3,4,3
8,0,12,1,7,3,3,4,3
9,1,12,1,7,3,3,4,3
10,2,12,1,7,3,3,1,3
11,2,12,1,7,3,3,1,3
12,1,12,1,7,3,3,1,3
10,2,12,1,7,3,3,2,3
11,2,12,1,7,3,3,2,3
12,1,12,1,7,3,3,2,3
10,2,12,1,7,3,3,3,3
11,2,12,1,7,3,3,3,3
12,1,12,1,7,3,3,3,3
10,2,12,1,7,3,3,4,3
11,2,12,1,7,3,3,4,3
12,1,12,1,7,3,3,4,3
1,2,12,1,7,3,12,5,3
2,2,12,1,7,3,12,5,3
3,1,12,1,7,3,12,5,3
4,0,12,1,7,3,12,5,3
5,0,12,1,7,3,12,5,3
6,1,12,1,7,3,12,5,3
7,0,12,1,7,3,12,5,3
8,0,12,1,7,3,12,5,3
9,1,12,1,7,3,12,5,3
10,2,12,1,7,3,12,5,3
11,2,12,1,7,3,12,5,3
12,1,12,1,7,3,12,5,3
3,1,12,1,7,3,12,6,3
2,2,12,1,7,3,12,6,3
6,1,12,1,7,3,12,6,3
10,2,12,1,7,3,12,6,3
12,1,12,1,7,3,12,6,3
11,2,12,1,7,3,12,6,3
8,0,12,1,7,3,12,6,3
5,0,12,1,7,3,12,6,3
1,2,12,1,7,3,12,6,3
9,1,12,1,7,3,12,6,3
4,0,12,1,7,3,12,6,3
7,0,12,1,7,3,12,6,3
7,0,12,1,7,3,12,7,3
11,2,12,1,7,3,12,7,3
3,1,12,1,7,3,12,7,3
2,2,12,1,7,3,12,7,3
3,1,12,1,7,3,12,8,3
4,0,12,1,7,3,12,7,3
6,1,12,1,7,3,12,7,3
8,0,12,1,7,3,12,7,3
4,0,12,1,7,3,12,8,3
10,2,12,1,7,3,12,7,3
5,0,12,1,7,3,12,7,3
12,1,12,1,7,3,12,7,3
1,2,12,1,7,3,12,7,3
10,2,12,1,7,3,12,8,3
9,1,12,1,7,3,12,7,3
12,1,12,1,7,3,12,8,3
6,1,12,1,7,3,12,8,3
1,2,12,1,7,3,12,8,3
7,0,12,1,7,3,12,8,3
8,0,12,1,7,3,12,8,3
9,1,12,1,7,3,12,8,3
5,0,12,1,7,3,12,8,3
11,2,12,1,7,3,12,8,3
2,2,12,1,7,3,12,8,3
1,0,12,2,5,2,2,1,3
2,1,12,2,5,2,2,1,3
1,0,12,2,5,2,2,2,3
2,1,12,2,5,2,2,2,3
1,0,12,2,5,2,2,3,3
2,1,12,2,5,2,2,3,3
1,0,12,2,5,2,2,4,3
2,1,12,2,5,2,2,4,3
3,1,12,2,5,2,2,1,3
4,2,12,2,5,2,2,1,3
3,1,12,2,5,2,2,2,3
4,2,12,2,5,2,2,2,3
3,1,12,2,5,2,2,3,3
4,2,12,2,5,2,2,3,3
3,1,12,2,5,2,2,4,3
4,2,12,2,5,2,2,4,3
5,1,12,2,5,2,2,1,3
6,0,12,2,5,2,2,1,3
5,1,12,2,5,2,2,2,3
6,0,12,2,5,2,2,2,3
5,1,12,2,5,2,2,3,3
6,0,12,2,5,2,2,3,3
5,1,12,2,5,2,2,4,3
6,0,12,2,5,2,2,4,3
7,2,12,2,5,2,2,1,3
8,2,12,2,5,2,2,1,3
7,2,12,2,5,2,2,2,3
8,2,12,2,5,2,2,2,3
7,2,12,2,5,2,2,3,3
8,2,12,2,5,2,2,3,3
7,2,12,2,5,2,2,4,3
8,2,12,2,5,2,2,4,3
9,0,12,2,5,2,2,1,3
10,1,12,2,5,2,2,1,3
9,0,12,2,5,2,2,2,3
10,1,12,2,5,2,2,2,3
9,0,12,2,5,2,2,3,3
10,1,12,2,5,2,2,3,3
9,0,12,2,5,2,2,4,3
10,1,12,2,5,2,2,4,3
11,0,12,2,5,2,2,1,3
12,2,12,2,5,2,2,1,3
11,0,12,2,5,2,2,2,3
12,2,12,2,5,2,2,2,3
11,0,12,2,5,2,2,3,3
12,2,12,2,5,2,2,3,3
11,0,12,2,5,2,2,4,3
12,2,12,2,5,2,2,4,3
1,0,12,2,5,2,12,5,3
2,1,12,2,5,2,12,5,3
3,1,12,2,5,2,12,5,3
4,2,12,2,5,2,12,5,3
5,1,12,2,5,2,12,5,3
6,0,12,2,5,2,12,5,3
7,2,12,2,5,2,12,5,3
8,2,12,2,5,2,12,5,3
9,0,12,2,5,2,12,5,3
10,1,12,2,5,2,12,5,3
11,0,12,2,5,2,12,5,3
12,2,12,2,5,2,12,5,3
11,0,12,2,5,2,12,6,3
3,1,12,2,5,2,12,6,3
1,0,12,2,5,2,12,6,3
6,0,12,2,5,2,12,6,3
12,2,12,2,5,2,12,6,3
10,1,12,2,5,2,12,6,3
4,2,12,2,5,2,12,6,3
2,1,12,2,5,2,12,6,3
5,1,12,2,5,2,12,6,3
9,0,12,2,5,2,12,6,3
6,0,12,2,5,2,12,7,3
7,2,12,2,5,2,12,6,3
5,1,12,2,5,2,12,7,3
2,1,12,2,5,2,12,7,3
8,2,12,2,5,2,12,6,3
4,2,12,2,5,2,12,7,3
12,2,12,2,5,2,12,7,3
8,2,12,2,5,2,12,7,3
10,1,12,2,5,2,12,7,3
7,2,12,2,5,2,12,7,3
11,0,12,2,5,2,12,7,3
3,1,12,2,5,2,12,7,3
3,1,12,2,5,2,12,8,3
1,0,12,2,5,2,12,7,3
9,0,12,2,5,2,12,7,3
1,0,12,2,5,2,12,8,3
4,2,12,2,5,2,12,8,3
11,0,12,2,5,2,12,8,3
10,1,12,2,5,2,12,8,3
9,0,12,2,5,2,12,8,3
5,1,12,2,5,2,12,8,3
8,2,12,2,5,2,12,8,3
6,0,12,2,5,2,12,8,3
12,2,12,2,5,2,12,8,3
2,1,12,2,5,2,12,8,3
7,2,12,2,5,2,12,8,3
1,2,12,3,4,13,12,1,3
2,0,12,3,4,13,12,1,3
3,0,12,3,4,13,12,1,3
4,2,12,3,4,13,12,1,3
5,0,12,3,4,13,12,1,3
6,0,12,3,4,13,12,1,3
7,2,12,3,4,13,12,1,3
8,1,12,3,4,13,12,1,3
9,1,12,3,4,13,12,1,3
10,2,12,3,4,13,12,1,3
11,1,12,3,4,13,12,1,3
12,1,12,3,4,13,12,1,3
7,2,12,3,4,13,12,2,3
5,0,12,3,4,13,12,2,3
4,2,12,3,4,13,12,2,3
2,0,12,3,4,13,12,2,3
1,2,12,3,4,13,12,2,3
9,1,12,3,4,13,12,2,3
6,0,12,3,4,13,12,2,3
3,0,12,3,4,13,12,2,3
11,1,12,3,4,13,12,2,3
10,2,12,3,4,13,12,2,3
8,1,12,3,4,13,12,2,3
11,1,12,3,4,13,12,3,3
9,1,12,3,4,13,12,3,3
12,1,12,3,4,13,12,2,3
10,2,12,3,4,13,12,3,3
12,1,12,3,4,13,12,3,3
12,1,12,3,4,13,12,4,3
5,0,12,3,4,13,12,3,3
7,2,12,3,4,13,12,3,3
1,2,12,3,4,13,12,3,3
2,0,12,3,4,13,12,3,3
5,0,12,3,4,13,12,4,3
4,2,12,3,4,13,12,3,3
8,1,12,3,4,13,12,3,3
6,0,12,3,4,13,12,3,3
8,1,12,3,4,13,12,4,3
3,0,12,3,4,13,12,3,3
1,2,12,3,4,13,12,4,3
2,0,12,3,4,13,12,4,3
3,0,12,3,4,13,12,4,3
7,2,12,3,4,13,12,4,3
9,1,12,3,4,13,12,4,3
11,1,12,3,4,13,12,4,3
4,2,12,3,4,13,12,4,3
6,0,12,3,4,13,12,4,3
10,2,12,3,4,13,12,4,3
1,2,12,3,4,13,12,5,3
2,0,12,3,4,13,12,5,3
3,0,12,3,4,13,12,5,3
4,2,12,3,4,13,12,5,3
5,0,12,3,4,13,12,5,3
6,0,12,3,4,13,12,5,3
7,2,12,3,4,13,12,5,3
8,1,12,3,4,13,12,5,3
9,1,12,3,4,13,12,5,3
10,2,12,3,4,13,12,5,3
11,1,12,3,4,13,12,5,3
12,1,12,3,4,13,12,5,3
1,2,12,3,4,13,12,6,3
12,1,12,3,4,13,12,6,3
4,2,12,3,4,13,12,6,3
9,1,12,3,4,13,12,6,3
7,2,12,3,4,13,12,6,3
10,2,12,3,4,13,12,6,3
3,0,12,3,4,13,12,6,3
11,1,12,3,4,13,12,6,3
8,1,12,3,4,13,12,6,3
5,0,12,3,4,13,12,6,3
2,0,12,3,4,13,12,6,3
6,0,12,3,4,13,12,6,3
8,1,12,3,4,13,12,7,3
11,1,12,3,4,13,12,7,3
5,0,12,3,4,13,12,7,3
2,0,12,3,4,13,12,7,3
12,1,12,3,4,13,12,7,3
9,1,12,3,4,13,12,7,3
4,2,12,3,4,13,12,7,3
1,2,12,3,4,13,12,7,3
