stim,correct_key,set_size,block,img_folder,condition,period_sz,iteration
1,2,12,1,5,2,2,1
2,0,12,1,5,2,2,1
1,2,12,1,5,2,2,2
2,0,12,1,5,2,2,2
1,2,12,1,5,2,2,3
2,0,12,1,5,2,2,3
1,2,12,1,5,2,2,4
2,0,12,1,5,2,2,4
3,0,12,1,5,2,2,1
4,1,12,1,5,2,2,1
3,0,12,1,5,2,2,2
4,1,12,1,5,2,2,2
3,0,12,1,5,2,2,3
4,1,12,1,5,2,2,3
3,0,12,1,5,2,2,4
4,1,12,1,5,2,2,4
5,1,12,1,5,2,2,1
6,0,12,1,5,2,2,1
5,1,12,1,5,2,2,2
6,0,12,1,5,2,2,2
5,1,12,1,5,2,2,3
6,0,12,1,5,2,2,3
5,1,12,1,5,2,2,4
6,0,12,1,5,2,2,4
7,2,12,1,5,2,2,1
8,0,12,1,5,2,2,1
7,2,12,1,5,2,2,2
8,0,12,1,5,2,2,2
7,2,12,1,5,2,2,3
8,0,12,1,5,2,2,3
7,2,12,1,5,2,2,4
8,0,12,1,5,2,2,4
9,2,12,1,5,2,2,1
10,1,12,1,5,2,2,1
9,2,12,1,5,2,2,2
10,1,12,1,5,2,2,2
9,2,12,1,5,2,2,3
10,1,12,1,5,2,2,3
9,2,12,1,5,2,2,4
10,1,12,1,5,2,2,4
11,1,12,1,5,2,2,1
12,2,12,1,5,2,2,1
11,1,12,1,5,2,2,2
12,2,12,1,5,2,2,2
11,1,12,1,5,2,2,3
12,2,12,1,5,2,2,3
11,1,12,1,5,2,2,4
12,2,12,1,5,2,2,4
1,2,12,1,5,2,12,5
2,0,12,1,5,2,12,5
3,0,12,1,5,2,12,5
4,1,12,1,5,2,12,5
5,1,12,1,5,2,12,5
6,0,12,1,5,2,12,5
7,2,12,1,5,2,12,5
8,0,12,1,5,2,12,5
9,2,12,1,5,2,12,5
10,1,12,1,5,2,12,5
11,1,12,1,5,2,12,5
12,2,12,1,5,2,12,5
2,0,12,1,5,2,12,6
6,0,12,1,5,2,12,6
8,0,12,1,5,2,12,6
11,1,12,1,5,2,12,6
1,2,12,1,5,2,12,6
5,1,12,1,5,2,12,6
7,2,12,1,5,2,12,6
1,2,12,1,5,2,12,7
4,1,12,1,5,2,12,6
12,2,12,1,5,2,12,6
3,0,12,1,5,2,12,6
9,2,12,1,5,2,12,6
7,2,12,1,5,2,12,7
12,2,12,1,5,2,12,7
10,1,12,1,5,2,12,6
6,0,12,1,5,2,12,7
10,1,12,1,5,2,12,7
3,0,12,1,5,2,12,7
2,0,12,1,5,2,12,7
2,0,12,1,5,2,12,8
9,2,12,1,5,2,12,7
8,0,12,1,5,2,12,7
11,1,12,1,5,2,12,7
5,1,12,1,5,2,12,7
4,1,12,1,5,2,12,7
6,0,12,1,5,2,12,8
8,0,12,1,5,2,12,8
5,1,12,1,5,2,12,8
1,2,12,1,5,2,12,8
9,2,12,1,5,2,12,8
3,0,12,1,5,2,12,8
10,1,12,1,5,2,12,8
4,1,12,1,5,2,12,8
11,1,12,1,5,2,12,8
7,2,12,1,5,2,12,8
12,2,12,1,5,2,12,8
1,0,12,2,6,3,3,1
2,1,12,2,6,3,3,1
3,0,12,2,6,3,3,1
1,0,12,2,6,3,3,2
2,1,12,2,6,3,3,2
3,0,12,2,6,3,3,2
1,0,12,2,6,3,3,3
2,1,12,2,6,3,3,3
3,0,12,2,6,3,3,3
1,0,12,2,6,3,3,4
2,1,12,2,6,3,3,4
3,0,12,2,6,3,3,4
4,2,12,2,6,3,3,1
5,1,12,2,6,3,3,1
6,0,12,2,6,3,3,1
4,2,12,2,6,3,3,2
5,1,12,2,6,3,3,2
6,0,12,2,6,3,3,2
4,2,12,2,6,3,3,3
5,1,12,2,6,3,3,3
6,0,12,2,6,3,3,3
4,2,12,2,6,3,3,4
5,1,12,2,6,3,3,4
6,0,12,2,6,3,3,4
7,0,12,2,6,3,3,1
8,1,12,2,6,3,3,1
9,2,12,2,6,3,3,1
7,0,12,2,6,3,3,2
8,1,12,2,6,3,3,2
9,2,12,2,6,3,3,2
7,0,12,2,6,3,3,3
8,1,12,2,6,3,3,3
9,2,12,2,6,3,3,3
7,0,12,2,6,3,3,4
8,1,12,2,6,3,3,4
9,2,12,2,6,3,3,4
10,1,12,2,6,3,3,1
11,2,12,2,6,3,3,1
12,2,12,2,6,3,3,1
10,1,12,2,6,3,3,2
11,2,12,2,6,3,3,2
12,2,12,2,6,3,3,2
10,1,12,2,6,3,3,3
11,2,12,2,6,3,3,3
12,2,12,2,6,3,3,3
10,1,12,2,6,3,3,4
11,2,12,2,6,3,3,4
12,2,12,2,6,3,3,4
1,0,12,2,6,3,12,5
2,1,12,2,6,3,12,5
3,0,12,2,6,3,12,5
4,2,12,2,6,3,12,5
5,1,12,2,6,3,12,5
6,0,12,2,6,3,12,5
7,0,12,2,6,3,12,5
8,1,12,2,6,3,12,5
9,2,12,2,6,3,12,5
10,1,12,2,6,3,12,5
11,2,12,2,6,3,12,5
12,2,12,2,6,3,12,5
12,2,12,2,6,3,12,6
7,0,12,2,6,3,12,6
2,1,12,2,6,3,12,6
4,2,12,2,6,3,12,6
3,0,12,2,6,3,12,6
10,1,12,2,6,3,12,6
8,1,12,2,6,3,12,6
1,0,12,2,6,3,12,6
6,0,12,2,6,3,12,6
5,1,12,2,6,3,12,6
11,2,12,2,6,3,12,6
6,0,12,2,6,3,12,7
9,2,12,2,6,3,12,6
3,0,12,2,6,3,12,7
5,1,12,2,6,3,12,7
10,1,12,2,6,3,12,7
9,2,12,2,6,3,12,7
10,1,12,2,6,3,12,8
12,2,12,2,6,3,12,7
4,2,12,2,6,3,12,7
3,0,12,2,6,3,12,8
7,0,12,2,6,3,12,7
2,1,12,2,6,3,12,7
8,1,12,2,6,3,12,7
11,2,12,2,6,3,12,7
4,2,12,2,6,3,12,8
1,0,12,2,6,3,12,7
7,0,12,2,6,3,12,8
1,0,12,2,6,3,12,8
5,1,12,2,6,3,12,8
2,1,12,2,6,3,12,8
12,2,12,2,6,3,12,8
6,0,12,2,6,3,12,8
8,1,12,2,6,3,12,8
9,2,12,2,6,3,12,8
11,2,12,2,6,3,12,8
1,0,12,3,7,13,12,1
2,0,12,3,7,13,12,1
3,1,12,3,7,13,12,1
4,2,12,3,7,13,12,1
5,0,12,3,7,13,12,1
6,2,12,3,7,13,12,1
7,1,12,3,7,13,12,1
8,1,12,3,7,13,12,1
9,2,12,3,7,13,12,1
10,2,12,3,7,13,12,1
11,1,12,3,7,13,12,1
12,0,12,3,7,13,12,1
1,0,12,3,7,13,12,2
7,1,12,3,7,13,12,2
10,2,12,3,7,13,12,2
3,1,12,3,7,13,12,2
8,1,12,3,7,13,12,2
12,0,12,3,7,13,12,2
4,2,12,3,7,13,12,2
2,0,12,3,7,13,12,2
5,0,12,3,7,13,12,2
11,1,12,3,7,13,12,2
6,2,12,3,7,13,12,2
2,0,12,3,7,13,12,3
10,2,12,3,7,13,12,3
6,2,12,3,7,13,12,3
12,0,12,3,7,13,12,3
9,2,12,3,7,13,12,2
9,2,12,3,7,13,12,3
3,1,12,3,7,13,12,3
7,1,12,3,7,13,12,3
6,2,12,3,7,13,12,4
1,0,12,3,7,13,12,3
11,1,12,3,7,13,12,3
1,0,12,3,7,13,12,4
10,2,12,3,7,13,12,4
9,2,12,3,7,13,12,4
8,1,12,3,7,13,12,3
4,2,12,3,7,13,12,3
5,0,12,3,7,13,12,3
4,2,12,3,7,13,12,4
12,0,12,3,7,13,12,4
3,1,12,3,7,13,12,4
5,0,12,3,7,13,12,4
2,0,12,3,7,13,12,4
8,1,12,3,7,13,12,4
7,1,12,3,7,13,12,4
11,1,12,3,7,13,12,4
1,0,12,3,7,13,12,5
2,0,12,3,7,13,12,5
3,1,12,3,7,13,12,5
4,2,12,3,7,13,12,5
5,0,12,3,7,13,12,5
6,2,12,3,7,13,12,5
7,1,12,3,7,13,12,5
8,1,12,3,7,13,12,5
9,2,12,3,7,13,12,5
10,2,12,3,7,13,12,5
11,1,12,3,7,13,12,5
12,0,12,3,7,13,12,5
8,1,12,3,7,13,12,6
12,0,12,3,7,13,12,6
7,1,12,3,7,13,12,6
2,0,12,3,7,13,12,6
4,2,12,3,7,13,12,6
1,0,12,3,7,13,12,6
10,2,12,3,7,13,12,6
9,2,12,3,7,13,12,6
11,1,12,3,7,13,12,6
6,2,12,3,7,13,12,6
3,1,12,3,7,13,12,6
5,0,12,3,7,13,12,6
8,1,12,3,7,13,12,7
3,1,12,3,7,13,12,7
11,1,12,3,7,13,12,7
5,0,12,3,7,13,12,7
6,2,12,3,7,13,12,7
7,1,12,3,7,13,12,7
12,0,12,3,7,13,12,7
12,0,12,3,7,13,12,8
1,0,12,3,7,13,12,7
2,0,12,3,7,13,12,7
10,2,12,3,7,13,12,7
4,2,12,3,7,13,12,7
6,2,12,3,7,13,12,8
9,2,12,3,7,13,12,7
11,1,12,3,7,13,12,8
1,0,12,3,7,13,12,8
4,2,12,3,7,13,12,8
9,2,12,3,7,13,12,8
2,0,12,3,7,13,12,8
7,1,12,3,7,13,12,8
